,Age,Gender,Emotion,Ethnicity,Skin Colour,Eye Colour,Hair Colour,Nose Width,Nose Height,Eye Ave Width,Eye Area,Eye Spacing,Mouth Width,Lip Thickness,Face Area
114,29,Woman,fear,white,,grey,black,1.7391304347826086,4.454545454545454,1.920289855072464,12.523629489603026,6.304347826086958,3.6231884057971016,1.4545454545454546,15180
115,36,Man,neutral,white,,black,black,1.773049645390071,3.73015873015873,1.8085106382978724,10.261053266938283,6.028368794326241,3.475177304964539,1.9047619047619049,17766
116,28,Woman,neutral,latino hispanic,,black,black,2.028985507246377,4.25925925925926,1.7753623188405798,9.005461037597145,6.159420289855072,3.8405797101449273,1.3888888888888888,14904
117,41,Man,sad,white,,brown,brown,2.0422535211267605,4.40677966101695,1.6549295774647887,5.827216822059117,5.915492957746478,3.591549295774648,1.440677966101695,16756
118,44,Man,neutral,latino hispanic,,grey,black,1.8461538461538465,4.23728813559322,1.7307692307692308,10.650887573964498,5.9230769230769225,3.7692307692307687,1.1016949152542372,15340
119,27,Woman,happy,asian,,black,black,1.862068965517241,4.102564102564102,1.7931034482758617,10.511296076099883,6.0,4.137931034482759,2.051282051282051,16965
120,46,Woman,fear,latino hispanic,,brown,black,1.9444444444444444,4.051724137931034,1.6666666666666663,7.523148148148147,5.902777777777778,3.680555555555556,1.8103448275862069,16704
121,41,Man,neutral,middle eastern,,black,black,2.0,4.453781512605042,1.6923076923076923,10.414201183431953,5.769230769230767,3.615384615384616,1.1764705882352942,15470
122,31,Woman,fear,middle eastern,,brown,black,2.142857142857143,4.0540540540540535,1.9444444444444444,12.34567901234568,6.746031746031747,4.206349206349207,2.2522522522522523,13986
123,39,Woman,happy,white,,black,brown,1.8978102189781016,4.188034188034188,1.8248175182481752,11.987852309659546,6.2773722627737225,4.233576642335766,2.1367521367521367,16029
124,22,Man,fear,asian,,black,black,1.9117647058823528,4.403669724770642,1.6911764705882355,8.082828719723183,6.25,3.6764705882352944,1.4678899082568808,14824
125,34,Woman,happy,white,,black,black,1.7985611510791366,4.137931034482759,1.83453237410072,11.878267170436311,6.187050359712231,4.316546762589929,2.2413793103448274,16124
126,39,Woman,happy,white,,brown,brown,1.925925925925926,4.2477876106194685,1.851851851851852,10.973936899862824,6.37037037037037,4.518518518518519,2.3008849557522124,15255
127,35,Woman,happy,latino hispanic,,brown,black,1.9852941176470589,4.2477876106194685,1.8382352941176472,10.813148788927336,6.25,4.705882352941177,2.3893805309734515,15368
128,33,Man,happy,asian,,black,black,2.0,4.117647058823529,1.6551724137931034,6.848989298454222,5.93103448275862,4.206896551724138,1.9327731092436973,17255
129,36,Woman,happy,white,,black,brown,2.0,4.051724137931034,1.75,8.75,6.071428571428571,4.0,2.327586206896552,16240
130,35,Woman,sad,asian,,black,black,1.942446043165468,4.385964912280701,1.6546762589928057,9.523316598519743,5.899280575539567,3.4532374100719427,1.5789473684210529,15846
131,31,Man,angry,asian,,black,black,1.933333333333333,4.049586776859504,1.5666666666666669,6.7888888888888905,5.666666666666666,3.466666666666667,1.8181818181818183,18150
132,39,Woman,happy,asian,,black,black,2.142857142857143,4.224137931034483,1.6785714285714284,7.193877551020408,6.0,4.214285714285714,2.0689655172413794,16240
133,26,Man,neutral,latino hispanic,,brown,black,1.9708029197080288,4.23728813559322,1.7883211678832116,9.1374074271405,6.131386861313869,3.7226277372262775,1.2711864406779658,16166
134,33,Woman,happy,latino hispanic,,black,black,2.2302158273381294,4.051724137931034,1.7266187050359714,6.831944516329383,6.043165467625898,4.388489208633094,2.327586206896552,16124
135,54,Woman,happy,white,,grey,brown,1.9463087248322148,4.2477876106194685,1.5771812080536909,7.409576145218682,5.6375838926174495,3.825503355704698,1.5044247787610616,16837
136,35,Woman,fear,latino hispanic,,black,black,1.8571428571428568,4.035087719298246,1.821428571428572,10.408163265306124,6.071428571428571,3.928571428571429,2.1929824561403506,15960
137,30,Woman,sad,white,,black,brown,1.9444444444444444,4.770642201834862,1.7361111111111112,9.645061728395063,5.902777777777778,3.75,1.5596330275229358,15696
138,42,Woman,fear,white,,grey,brown,1.9117647058823528,4.070796460176991,1.7647058823529411,9.731833910034602,6.1764705882352935,4.117647058823529,1.7699115044247788,15368
139,29,Man,happy,white,,black,black,2.18978102189781,4.513274336283184,1.8248175182481752,9.3238851297352,6.204379562043796,4.525547445255475,1.858407079646018,15481
140,26,Woman,happy,black,,black,black,2.3664122137404577,4.128440366972478,1.946564885496183,11.887419148068291,6.564885496183206,4.351145038167939,2.568807339449541,14279
